target_id	length	eff_length	est_counts	tpm
BgeEVm008490t1	8103	7943.07	98.2909	5.14427
BgeEVm020420t1	5185	5025.07	9.40775	0.778291
BgeEVm002115t3	8091	7931.07	34.6811	1.81786
BgeEVm005839t1	8055	7895.07	1.93938	0.102119
BgeEVm029541t1	8038	7878.07	43.5557	2.29839
BgeEVm002249t1	8035	7875.07	151.072	7.97495
BgeEVm032519t1	8031	7871.07	137.921	7.28441
BgeEVm000190t1	8026	7866.07	1.06341	0.0562008
BgeEVm002278t1	8024	7864.07	4.48262	0.236964
BgeEVm008283t1	8023	7863.07	14.2902	0.755516
BgeEVm000389t1	8023	7863.07	53.9225	2.85087
BgeEVm003750t1	8022	7862.07	43.3238	2.2908
BgeEVm017412t1	8021	7861.07	8.92614	0.472042
BgeEVm000383t1	8020	7860.07	19.0009	1.00495
BgeEVm005027t1	3740	3580.07	12.5873	1.46164
BgeEVm000401t1	8010	7850.07	0	0
BgeEVm009733t1	7999	7839.07	15.9818	0.847539
BgeEVm019714t1	7993	7833.07	33.3336	1.76908
BgeEVm000671t4	7993	7833.07	19.1584	1.01678
BgeEVm001305t1	7988	7828.07	7.63966	0.405712
BgeEVm000585t1	7984	7824.07	56.7626	3.01598
BgeEVm002252t1	7980	7820.07	5	0.265802
BgeEVm019707t1	691	531.074	2	1.56557
BgeEVm020862t1	7976	7816.07	24.8179	1.32001
BgeEVm017400t1	7975	7815.07	14	0.744721
BgeEVm018311t1	4550	4390.07	13.292	1.25869
BgeEVm000170t1	7957	7797.07	10.0926	0.53811
BgeEVm006200t1	7940	7780.07	23.0323	1.2307
BgeEVm021000t1	3615	3455.07	0	0
IMD_Tak1_BgeEVm005048t1	7934	7774.07	169.956	9.0884
BgeEVm012440t1	3517	3357.07	17	2.10517
BgeEVm001874t1	7928	7768.07	73.3246	3.92405
BgeEVm000386t1	7926	7766.07	49.56	2.65295
BgeEVm000201t3	7924	7764.07	0	0
BgeEVm006901t1	7914	7754.07	32	1.71561
BgeEVm029001t1	7913	7753.07	109.096	5.84971
BgeEVm021060t1	7903	7743.07	33.4509	1.79595
BgeEVm017606t1	7892	7732.07	18.9992	1.0215
BgeEVm030650t1	7885	7725.07	31.618	1.7015
BgeEVm000244t3	7877	7717.07	3.3508	0.180508
BgeEVm006678t1	7871	7711.07	233.488	12.5878
BgeEVm001987t1	7867	7707.07	4	0.215759
BgeEVm008031t1	1254	1094.07	0	0
BgeEVm025602t2	7857	7697.07	17.5886	0.949959
